Column,DataType,NonNullCount,NullCount,UniqueValues
rowid,int64,38500,0,38500
pl_name,object,38500,0,5921
hostname,object,38500,0,4422
pl_letter,object,38500,0,8
hd_name,object,2764,35736,724
hip_name,object,3004,35496,759
tic_id,object,37768,732,4170
gaia_id,object,37468,1032,4130
default_flag,int64,38500,0,2
sy_snum,int64,38500,0,4
sy_pnum,int64,38500,0,8
sy_mnum,int64,38500,0,1
cb_flag,int64,38500,0,2
discoverymethod,object,38500,0,11
disc_year,int64,38500,0,33
disc_refname,object,38500,0,1584
disc_pubdate,object,38500,0,286
disc_locale,object,38500,0,4
disc_facility,object,38500,0,72
disc_telescope,object,38500,0,83
disc_instrument,object,38500,0,98
rv_flag,int64,38500,0,2
pul_flag,int64,38500,0,2
ptv_flag,int64,38500,0,2
tran_flag,int64,38500,0,2
ast_flag,int64,38500,0,2
obm_flag,int64,38500,0,2
micro_flag,int64,38500,0,2
etv_flag,int64,38500,0,2
ima_flag,int64,38500,0,2
dkin_flag,int64,38500,0,2
soltype,object,38500,0,9
pl_controv_flag,int64,38500,0,2
pl_refname,object,38500,0,2358
pl_orbper,float64,35289,3211,22444
pl_orbpererr1,float64,33743,4757,9917
pl_orbpererr2,float64,33742,4758,9913
pl_orbperlim,float64,35289,3211,3
pl_orbsmax,float64,21679,16821,6389
pl_orbsmaxerr1,float64,7215,31285,1005
pl_orbsmaxerr2,float64,7214,31286,992
pl_orbsmaxlim,float64,24465,14035,2
pl_rade,float64,26548,11952,6277
pl_radeerr1,float64,25819,12681,2887
pl_radeerr2,float64,25819,12681,2733
pl_radelim,float64,29293,9207,3
pl_radj,float64,26548,11952,7381
pl_radjerr1,float64,25819,12681,3292
pl_radjerr2,float64,25819,12681,3095
pl_radjlim,float64,26548,11952,3
pl_masse,float64,4407,34093,2908
pl_masseerr1,float64,4018,34482,1387
pl_masseerr2,float64,4018,34482,1310
pl_masselim,float64,4439,34061,3
pl_massj,float64,4407,34093,2534
pl_massjerr1,float64,4018,34482,1104
pl_massjerr2,float64,4018,34482,1045
pl_massjlim,float64,4439,34061,3
pl_msinie,float64,2479,36021,2027
pl_msinieerr1,float64,2242,36258,991
pl_msinieerr2,float64,2242,36258,993
pl_msinielim,float64,2479,36021,3
pl_msinij,float64,2477,36023,1634
pl_msinijerr1,float64,2235,36265,699
pl_msinijerr2,float64,2235,36265,695
pl_msinijlim,float64,2477,36023,3
pl_cmasse,float64,88,38412,88
pl_cmasseerr1,float64,84,38416,82
pl_cmasseerr2,float64,84,38416,82
pl_cmasselim,float64,88,38412,1
pl_cmassj,float64,88,38412,88
pl_cmassjerr1,float64,84,38416,82
pl_cmassjerr2,float64,84,38416,82
pl_cmassjlim,float64,88,38412,1
pl_bmasse,float64,6671,31829,4223
pl_bmasseerr1,float64,6053,32447,1835
pl_bmasseerr2,float64,6053,32447,1758
pl_bmasselim,float64,6671,31829,3
pl_bmassj,float64,6670,31830,3426
pl_bmassjerr1,float64,6047,32453,1411
pl_bmassjerr2,float64,6047,32453,1339
pl_bmassjlim,float64,6670,31830,3
pl_bmassprov,object,6671,31829,3
pl_dens,float64,2519,35981,1190
pl_denserr1,float64,2402,36098,569
pl_denserr2,float64,2402,36098,535
pl_denslim,float64,2519,35981,4
pl_orbeccen,float64,18493,20007,924
pl_orbeccenerr1,float64,3580,34920,369
pl_orbeccenerr2,float64,3579,34921,356
pl_orbeccenlim,float64,21237,17263,4
pl_insol,float64,16826,21674,9320
