pl_name,score_mean,score_std,rank_median,rank_p05,rank_p95,top10_probability
LP 890-9 c,0.7923667043874753,0.01438955292012321,1.5,1.0,3.0,1.0
TRAPPIST-1 e,0.7268924791568007,0.09544841516780077,3.0,1.0,799.0,0.856
TOI-700 d,0.7356597571513084,0.0532767992875641,4.0,1.0,12.0,0.924
Kepler-1704 b,0.6843471059785132,0.029993290361629628,8.0,4.0,24.0,0.7
Kepler-705 b,0.6671391147780774,0.0586703493346059,10.0,3.950000000000003,105.0,0.54
Kepler-1544 b,0.6552676399891317,0.08484039676141131,10.0,3.0,1485.0,0.528
Kepler-1540 b,0.6222316774926638,0.06501302474715011,12.0,6.0,130.0,0.4
HD 10697 b,0.6562734332334773,0.029627784002789082,12.5,7.0,54.89999999999918,0.332
Kepler-283 c,0.6464016704916776,0.07217801126008788,14.0,4.0,180.19999999993524,0.384
Kepler-553 c,0.6494884017984213,0.041636082592200946,14.5,6.0,104.0,0.318
TOI-1776 b,0.65,0.0,15.0,11.0,19.0,0.03
HD 160691 b,0.6481666247859768,0.03169687966335269,15.0,8.0,34.049999999999955,0.152
TOI-199 c,0.6418490877933877,0.006793391368735788,18.0,12.950000000000003,26.0,0.008
HD 16175 b,0.6189480859030754,0.058773259734209646,20.0,9.950000000000003,783.05,0.094
Kepler-37 c,0.634625,0.0037349396981876553,21.0,16.0,25.0,0.0
Kepler-409 b,0.634925,0.0016770509831248392,22.0,17.0,26.0,0.0
HD 93963 A b,0.591,0.06278442296887875,22.0,16.0,787.0999999999999,0.0
HD 38529 c,0.6308513366501142,0.04585395853182415,23.0,7.0,110.19999999999982,0.208
Kepler-93 b,0.6174,0.03812015598846848,23.0,18.0,185.0,0.0
TOI-561 b,0.6341749999999999,0.005506133854170278,24.0,19.0,29.0,0.0
Kepler-47 c,0.631587288646954,0.038659503175918965,25.0,7.0,102.0,0.15
Kepler-68 d,0.6209139855971345,0.03936634983887514,25.0,11.0,129.19999999999982,0.03
Kepler-174 d,0.6233908448758496,0.011969118371424774,27.0,22.0,32.0,0.004
HIP 67851 c,0.621220206486819,0.012146715438401904,29.0,18.0,82.04999999999995,0.0
Kepler-131 c,0.62,0.0,30.0,25.0,35.0,0.0
Kepler-10 b,0.6038,0.03688198152380433,30.0,25.0,510.0,0.0
Kepler-68 c,0.617,0.02102103155259208,31.0,26.0,37.0,0.0
TOI-1444 b,0.6154,0.02096948828364096,32.0,27.0,40.049999999999955,0.0
HD 21749 c,0.6125,0.0,36.0,30.0,41.0,0.0
HD 219134 f,0.6125,0.0,37.0,32.0,42.0,0.0
HD 23472 d,0.6125,0.0,38.0,33.0,43.0,0.0
HD 23472 e,0.6125,0.0,39.0,34.0,44.0,0.0
HD 23472 f,0.6125,0.0,40.0,35.0,45.0,0.0
HD 260655 b,0.6125,0.0,41.0,36.0,46.0,0.0
Kepler-444 e,0.613225,0.011041090814441552,44.0,37.0,49.0,0.0
Kepler-444 d,0.5918000000000001,0.0627146414524153,44.0,37.0,1355.05,0.0
K2-3 d,0.59055,0.04156805632469758,44.0,38.0,538.0,0.0
TOI-1411 b,0.6125,0.0,46.0,40.0,51.0,0.0
TOI-2095 b,0.5948000000000001,0.0318785583891421,48.0,42.0,173.0,0.0
TOI-2095 c,0.59245,0.03426507976618131,49.5,43.0,174.0,0.0
HD 210277 b,0.6046329516258689,0.011613491195497866,51.0,32.0,97.04999999999995,0.0
Kepler-100 b,0.6023,0.019962640457315654,53.0,47.0,59.0,0.0
KOI-1831 d,0.5953249999999999,0.016423957127789594,53.0,46.0,108.0,0.0
TOI-1807 b,0.5645,0.05001001903626934,53.0,42.0,549.0,0.0
HD 10180 g,0.6026298640921294,0.013632953477904285,54.0,32.0,103.04999999999995,0.0
Kepler-101 c,0.5982,0.025199802779391735,54.0,48.0,571.05,0.0
Kepler-105 c,0.5806,0.053294658656215875,55.0,49.0,867.05,0.0
Kepler-106 b,0.5891000000000001,0.04622188795204823,56.0,50.0,865.05,0.0
Kepler-107 d,0.6038,0.013376017182679709,57.0,51.0,64.0,0.0
Kepler-106 d,0.5918,0.04253679298577915,57.0,50.95,861.0,0.0
Kepler-1972 b,0.605,0.0,61.0,54.0,67.0,0.0
Kepler-1972 c,0.605,0.0,62.0,55.0,68.0,0.0
Kepler-20 e,0.605,0.0,63.0,56.0,69.0,0.0
Kepler-20 f,0.605,0.0,64.0,57.0,70.0,0.0
Kepler-197 c,0.5311999999999999,0.07506550245831059,68.0,55.0,887.05,0.0
Kepler-203 d,0.555,0.059725490944295065,69.0,59.0,646.9999999999909,0.0
Kepler-406 b,0.6048,0.004472135954999611,72.0,65.0,80.0,0.0
Kepler-406 c,0.605,0.0,73.0,66.0,81.0,0.0
Kepler-407 b,0.605,0.0,74.0,67.0,82.0,0.0
Kepler-339 c,0.5541200000000001,0.07366803621054545,74.0,64.0,1398.0,0.0
Kepler-339 d,0.55053,0.07079206971312912,75.0,64.95,1398.0,0.0
Kepler-85 d,0.5999,0.021591024632688877,77.0,70.0,121.04999999999995,0.0
Kepler-85 e,0.59195,0.033523426738335665,79.0,71.0,622.0,0.0
K2-136 b,0.5975,0.0,81.0,74.0,89.0,0.0
K2-233 b,0.5975,0.0,82.0,76.0,91.0,0.0
K2-233 c,0.5975,0.0,83.0,77.0,92.0,0.0
Kepler-138 b,0.5970500000000001,0.005797821095801241,84.0,78.0,93.0,0.0
TOI-178 b,0.5975,0.0,86.0,79.0,95.0,0.0
Kepler-97 b,0.5594,0.04985590458957586,86.0,73.0,637.0,0.0
Kepler-712 c,0.6003953806497776,0.019615642556296848,87.0,20.0,102.0,0.0
HD 154391 b,0.5906555057747419,0.016516740369080605,89.0,32.0,118.0,0.0
TOI-286 b,0.5769,0.0404835501861107,89.0,80.95,649.0,0.0
HD 45364 c,0.5921629647283134,0.0018028273791071314,90.0,82.0,98.0,0.0
Kepler-1652 b,0.5542344853106917,0.1301091551840967,91.5,4.0,2449.0,0.144
HD 100777 b,0.586683122316967,0.015955309695046552,93.0,36.900000000000006,124.0,0.0
Kepler-102 c,0.579375,0.025185621017001433,94.0,87.0,104.0,0.0
Kepler-102 d,0.5825750000000001,0.0016770509831248546,95.0,88.0,104.0,0.0
K2-36 b,0.5639,0.03894963604832008,95.0,86.95,795.05,0.0
Kepler-102 f,0.5825,0.0,96.0,89.0,105.0,0.0
Kepler-78 b,0.5825,0.0,98.0,91.0,107.0,0.0
Kepler-327 c,0.57065,0.027382971977282136,99.0,91.0,547.0,0.0
HD 20782 b,0.5657447121301777,0.048673771377269935,99.5,34.0,854.0999999999999,0.0
Kepler-324 b,0.58565,0.018759166096211463,100.0,63.0,115.04999999999995,0.0
Kepler-176 e,0.558875,0.0513560782044061,100.0,54.95,811.0,0.0
HD 63433 d,0.575,0.0,102.0,94.0,111.0,0.0
TOI-1798.02,0.5545,0.05250250495026025,103.0,32.0,805.0,0.0
Kepler-211 c,0.57455,0.02116763182962489,105.0,62.0,115.0,0.0
Kepler-114 b,0.5639,0.01864766663531616,105.0,97.0,117.0,0.0
Kepler-99 b,0.5393,0.04958505172639657,105.0,94.0,805.05,0.0
Kepler-326 d,0.573275,0.01354913403380938,110.0,67.0,119.0,0.0
Kepler-32 f,0.5549,0.028068053570964344,110.0,101.0,650.0,0.0
Kepler-1593 b,0.5572235310764081,0.06642836303851626,110.5,24.0,810.0999999999999,0.014
Kepler-326 c,0.5556749999999999,0.042015025881220115,111.0,68.0,829.05,0.0
Kepler-595 c,0.57455,0.014666380105902816,113.0,74.0,123.0,0.0
Kepler-415 b,0.5661,0.01176080920968164,113.0,104.0,122.04999999999995,0.0
Kepler-333 b,0.5532,0.03536256526390709,113.0,103.95,831.05,0.0
Kepler-62 b,0.5675,0.0,116.0,107.0,125.0,0.0
Kepler-62 f,0.5586767927878457,0.030248427259627866,118.0,109.0,834.05,0.002
Kepler-62 c,0.5491,0.05786308212103026,118.0,109.0,2138.1,0.0
Kepler-1653 b,0.5061393415662853,0.12953566606485495,118.0,10.0,1990.499999999935,0.068
Kepler-80 f,0.5675,0.0,119.0,110.0,128.0,0.0
Kepler-1410 b,0.5133226605207494,0.12553827730106665,121.0,7.0,1896.05,0.078
HD 34445 f,0.5534433280766946,0.04308166993015473,125.0,40.95,788.1999999999998,0.0
HD 136352 b,0.55,0.0,125.0,116.0,134.0,0.0
HD 3167 b,0.5605,0.03816297715916963,127.0,13.0,527.05,0.004
HD 63433 b,0.55,0.0,128.0,119.0,137.0,0.0
HD 86226 c,0.541,0.03565870281112794,129.5,120.0,1402.4499999999996,0.0
Kepler-1143 c,0.5616477823669649,0.02789758098922022,130.0,86.0,140.0,0.02
K2-184 b,0.516725,0.05044974954802964,130.0,115.0,891.1499999999999,0.0
HD 213885 b,0.5047,0.06893776055007385,130.0,119.0,1446.05,0.0
HD 218566 b,0.5451655310211149,0.02715524679583395,131.0,98.0,636.05,0.0
HD 159868 b,0.5371951423600801,0.05856603905516103,133.5,80.95,864.2499999999998,0.0
HD 97658 b,0.5360499999999999,0.018143342077011286,134.0,122.0,545.0,0.0
K2-279 b,0.5429999999999999,0.014014021035061369,135.0,125.0,146.0,0.0
Kepler-1130 b,0.5394,0.03302758912313418,136.0,126.0,147.0,0.0
TOI-2128 b,0.49360000000000004,0.07272976858533896,136.0,123.0,1452.0,0.0
Kepler-1130 c,0.54455,0.0040872866089433175,137.0,127.0,147.0,0.0
Kepler-1130 d,0.530525,0.051755619630400054,138.0,128.0,2283.05,0.0
Kepler-296 e,0.538765753990753,0.15311732385415885,138.5,3.0,2444.0,0.264
Kepler-1869 b,0.5357999999999999,0.03546654411558877,139.0,129.0,1407.2499999999998,0.0
TOI-1736 c,0.5292024370100927,0.06953884617336024,139.0,84.0,2391.0,0.0
Kepler-1869 c,0.5336,0.04340285261627926,140.0,130.0,1435.0,0.0
HD 4113 b,0.5412122842245276,0.0025065811320043323,143.0,133.0,176.0,0.0
GJ 1132 b,0.5375,0.0,143.0,134.0,153.0,0.0
GJ 1252 b,0.5414,0.01666870395030057,144.0,39.95,154.0,0.0
GJ 3473 b,0.5375,0.0,145.0,136.0,155.0,0.0
